Local_Authority,OA_code,NSSEC_tot,NSSEC_1HigherManProf,NSSEC_2LowerManProf,NSSEC_3Intermediate,NSSEC_4SmallAccount,NSSEC_5LowerSupTech,NSSEC_6SemiRoutine,NSSEC_7Routine,NSSEC_8NoneUnemp,NSSEC_9UnClassif
Bradford,E00053942,428,55,96,51,72,60,38,39,15,2
Bradford,E00053943,426,145,143,27,67,8,18,12,2,4
Bradford,E00053944,318,142,105,17,30,5,8,11,0,0
Bradford,E00053945,347,161,127,18,27,5,5,1,0,3
Bradford,E00053946,293,97,105,27,37,4,14,8,1,0
Bradford,E00053947,253,74,74,39,28,4,13,19,2,0
Bradford,E00053948,289,121,88,34,32,0,12,2,0,0
Bradford,E00053949,353,138,135,32,26,2,12,7,1,0
Bradford,E00053950,301,120,91,19,17,10,30,14,0,0
Bradford,E00053951,283,99,105,35,12,7,10,9,2,4
Bradford,E00053952,376,136,140,32,33,9,11,9,6,0
Bradford,E00053953,470,193,149,30,48,10,10,17,11,2
Bradford,E00053954,229,100,58,12,43,9,0,1,6,0
Bradford,E00053955,185,64,55,2,33,0,12,16,0,3
Bradford,E00053956,341,117,117,23,67,7,7,0,3,0
Bradford,E00053957,406,87,123,51,74,23,26,20,1,1
Bradford,E00053958,218,71,66,17,23,8,16,11,6,0
Bradford,E00053959,350,123,108,35,51,3,20,9,0,1
Bradford,E00053960,333,97,132,14,21,13,28,16,10,2
Bradford,E00053961,302,88,118,41,17,3,29,5,1,0
Bradford,E00053962,297,97,77,26,38,22,24,13,0,0
Bradford,E00053963,300,37,75,22,53,27,56,27,3,0
Bradford,E00053964,278,64,77,19,36,18,40,17,7,0
Bradford,E00053965,308,49,118,31,14,28,43,21,4,0
Bradford,E00053966,296,94,114,23,29,7,19,3,3,4
Bradford,E00053967,159,27,47,13,13,8,22,22,1,6
Bradford,E00053968,257,36,94,32,35,13,14,31,2,0
Bradford,E00053969,314,146,71,23,28,13,12,19,1,1
Bradford,E00053970,287,51,100,19,35,18,27,26,11,0
Bradford,E00053971,308,79,86,28,43,19,34,13,0,6
Bradford,E00053972,251,54,82,25,41,8,28,11,0,2
Bradford,E00053973,225,48,57,36,31,13,25,7,8,0
Bradford,E00053974,284,71,94,22,32,8,35,20,2,0
Bradford,E00053975,231,36,60,26,29,14,26,36,4,0
Bradford,E00053976,282,98,97,28,30,5,12,3,5,4
Bradford,E00053977,276,106,92,21,33,8,6,3,7,0
Bradford,E00053978,324,135,116,26,27,0,17,0,3,0
Bradford,E00053979,307,99,76,41,30,21,25,9,6,0
Bradford,E00053980,311,89,85,42,30,8,35,19,3,0
Bradford,E00053981,226,49,59,30,26,20,22,17,3,0
Bradford,E00053982,241,63,108,16,22,7,17,5,3,0
Bradford,E00053983,332,12,50,37,68,27,52,50,28,8
Bradford,E00053984,453,10,41,30,88,19,64,82,109,10
Bradford,E00053985,321,48,96,46,67,22,15,22,5,0
Bradford,E00053986,363,19,54,43,66,55,40,64,9,13
Bradford,E00053987,569,87,206,78,74,31,27,51,9,6
Bradford,E00053988,336,64,92,31,44,28,39,30,2,6
Bradford,E00053989,524,20,31,24,195,18,44,127,61,4
Bradford,E00053990,113,2,12,15,9,10,26,32,7,0
Bradford,E00053991,358,28,27,4,68,26,73,68,51,13
Bradford,E00053992,252,18,34,23,54,23,42,57,1,0
Bradford,E00053993,451,27,19,35,175,11,50,81,42,11
Bradford,E00053994,251,22,55,27,34,15,50,43,5,0
Bradford,E00053995,296,31,40,55,44,22,47,44,13,0
Bradford,E00053996,334,13,42,24,31,27,82,89,16,10
Bradford,E00053997,317,43,64,46,48,18,42,52,3,1
Bradford,E00053998,297,22,72,33,35,42,48,45,0,0
Bradford,E00053999,441,50,121,55,50,38,63,58,6,0
Bradford,E00054000,312,28,54,55,33,41,41,51,5,4
Bradford,E00054001,294,29,54,43,36,28,37,64,3,0
Bradford,E00054002,317,12,77,29,50,30,75,36,1,7
Bradford,E00054003,286,19,49,50,59,13,50,35,5,6
Bradford,E00054004,212,6,28,18,28,23,34,59,16,0
Bradford,E00054005,335,33,69,65,62,43,17,43,0,3
Bradford,E00054006,264,74,64,24,62,11,19,4,2,4
Bradford,E00054007,140,44,42,9,13,4,13,9,4,2
Bradford,E00054008,273,35,79,22,56,13,48,18,2,0
Bradford,E00054009,294,46,67,40,36,39,25,40,0,1
Bradford,E00054011,324,74,95,34,41,33,20,25,2,0
Bradford,E00054012,298,21,62,29,28,43,58,35,15,7
Bradford,E00054013,453,75,143,45,93,25,46,19,1,6
Bradford,E00054014,317,43,74,57,37,23,34,44,2,3
Bradford,E00054015,349,30,65,38,45,56,46,65,4,0
Bradford,E00054016,369,51,104,47,96,10,15,44,2,0
Bradford,E00054017,307,25,59,42,43,33,49,46,10,0
Bradford,E00054019,420,41,113,39,85,44,38,44,11,5
Bradford,E00054020,442,14,35,20,75,53,86,118,33,8
Bradford,E00054021,578,14,54,17,177,45,67,99,87,18
Bradford,E00054022,319,24,43,16,52,34,59,59,32,0
Bradford,E00054023,392,0,21,18,107,28,80,75,56,7
Bradford,E00054024,407,18,41,46,37,34,88,108,35,0
Bradford,E00054025,557,11,91,29,182,25,94,92,33,0
Bradford,E00054026,398,7,17,18,90,18,39,116,67,26
Bradford,E00054027,347,93,96,25,68,20,23,19,2,1
Bradford,E00054028,510,2,36,26,111,71,102,95,60,7
Bradford,E00054029,501,124,157,43,87,30,38,20,2,0
Bradford,E00054030,167,8,13,5,39,13,27,57,5,0
Bradford,E00054031,316,7,66,38,37,44,39,62,16,7
Bradford,E00054032,239,14,16,7,18,36,34,65,46,3
Bradford,E00054033,287,10,38,39,17,21,55,92,9,6
Bradford,E00054034,428,18,72,52,38,56,88,82,15,7
Bradford,E00054035,200,32,48,20,29,24,18,24,5,0
Bradford,E00054036,492,28,92,45,53,60,104,93,17,0
Bradford,E00054037,396,24,86,40,53,35,64,56,22,16
Bradford,E00054038,253,5,24,6,27,25,38,64,59,5
Bradford,E00054039,309,15,26,6,35,19,53,75,64,16
Bradford,E00054040,454,33,24,28,47,31,73,126,70,22
Bradford,E00054041,536,5,39,18,154,42,99,121,54,4
Bradford,E00054042,157,3,13,6,13,24,32,41,24,1
Bradford,E00054043,223,10,17,18,13,11,38,63,53,0
Bradford,E00054044,269,5,38,7,24,29,28,62,47,29
Bradford,E00054045,158,2,16,10,17,28,33,33,19,0
Bradford,E00054046,408,24,28,21,123,83,36,78,14,1
Bradford,E00054047,501,6,47,33,47,96,65,126,68,13
Bradford,E00054048,527,14,30,50,123,90,71,92,57,0
Bradford,E00054049,312,8,20,11,9,25,61,86,57,35
Bradford,E00054050,197,2,29,13,22,17,27,60,27,0
Bradford,E00054051,288,16,49,37,48,43,45,41,7,2
Bradford,E00054052,334,15,49,31,55,42,62,73,5,2
Bradford,E00054053,338,12,30,14,62,77,53,48,35,7
Bradford,E00054054,316,6,41,41,36,28,70,60,30,4
Bradford,E00054055,284,13,65,28,37,38,44,51,6,2
Bradford,E00054056,237,3,16,17,25,27,59,68,20,2
Bradford,E00054057,282,19,36,13,37,21,67,67,16,6
Bradford,E00054058,301,20,47,56,10,47,63,45,11,2
Bradford,E00054059,198,6,21,17,21,11,41,49,25,7
Bradford,E00054060,260,13,40,44,35,26,38,54,10,0
Bradford,E00054061,252,20,24,27,10,35,50,66,16,4
Bradford,E00054062,310,8,33,42,24,21,86,74,19,3
Bradford,E00054063,260,13,46,34,34,38,47,41,4,3
Bradford,E00054064,417,23,79,28,39,69,77,65,25,12
Bradford,E00054065,237,9,33,25,21,33,45,60,9,2
Bradford,E00054066,349,10,31,23,40,35,88,91,23,8
Bradford,E00054067,252,27,66,19,31,29,41,37,2,0
Bradford,E00054068,143,2,16,14,7,11,27,45,18,3
Bradford,E00054069,442,17,42,51,18,46,111,126,24,7
Bradford,E00054070,339,13,50,40,25,35,85,67,20,4
Bradford,E00054071,333,17,27,13,23,48,69,103,29,4
Bradford,E00054072,281,15,49,30,36,34,50,44,18,5
Bradford,E00054073,265,6,33,24,19,29,60,61,27,6
Bradford,E00054074,187,4,36,22,8,15,37,49,14,2
Bradford,E00054075,236,3,11,11,15,17,78,87,10,4
Bradford,E00054076,335,2,49,18,23,49,52,89,49,4
Bradford,E00054077,365,6,28,37,57,34,57,94,42,10
Bradford,E00054078,290,21,55,41,31,60,34,44,0,4
Bradford,E00054079,281,17,55,40,34,38,46,51,0,0
Bradford,E00054080,357,88,59,13,123,15,20,34,5,0
Bradford,E00054081,331,10,39,32,19,22,57,100,41,11
Bradford,E00054082,205,2,13,17,14,12,57,59,30,1
Bradford,E00054083,624,23,37,62,181,50,96,122,42,11
Bradford,E00054084,398,33,87,47,83,53,53,36,5,1
Bradford,E00054085,440,27,48,48,135,69,28,45,38,2
Bradford,E00054086,513,15,48,24,178,22,87,86,43,10
Bradford,E00054087,380,15,34,15,28,50,87,92,53,6
Bradford,E00054088,285,5,28,14,12,15,72,101,37,1
Bradford,E00054089,311,6,14,22,19,28,85,89,46,2
Bradford,E00054090,338,9,26,20,22,36,98,83,38,6
Bradford,E00054091,319,17,37,19,30,38,59,85,30,4
Bradford,E00054092,258,8,29,19,18,8,68,84,24,0
Bradford,E00054093,381,16,14,20,113,31,58,100,26,3
Bradford,E00054094,531,4,53,29,162,37,40,101,90,15
Bradford,E00054095,428,15,25,21,130,25,67,100,33,12
Bradford,E00054096,440,21,33,34,58,90,70,77,40,17
Bradford,E00054097,391,9,33,24,38,38,91,105,52,1
Bradford,E00054098,248,9,32,20,12,10,59,73,27,6
Bradford,E00054099,249,15,35,35,17,39,40,65,3,0
Bradford,E00054100,312,6,39,35,20,43,62,76,24,7
Bradford,E00054101,289,5,32,26,20,47,72,72,13,2
Bradford,E00054102,262,16,55,43,28,34,42,37,2,5
Bradford,E00054103,355,16,34,26,28,19,57,118,48,9
Bradford,E00054104,341,12,51,73,33,40,53,61,18,0
Bradford,E00054105,244,5,38,34,15,35,46,52,14,5
Bradford,E00054106,281,24,67,34,36,25,31,59,5,0
Bradford,E00054107,332,34,50,39,31,48,81,49,0,0
Bradford,E00054108,389,69,112,55,42,34,35,42,0,0
Bradford,E00054109,334,20,66,25,48,37,54,82,2,0
Bradford,E00054110,276,28,51,38,38,49,32,38,2,0
Bradford,E00054111,359,73,120,34,74,15,20,12,3,8
Bradford,E00054112,363,30,93,49,37,23,44,65,18,4
Bradford,E00054113,278,30,49,32,29,30,48,55,5,0
Bradford,E00054114,415,67,112,60,54,39,55,19,4,5
Bradford,E00054115,359,86,110,30,82,9,12,15,15,0
Bradford,E00054116,331,45,78,31,53,37,24,49,5,9
Bradford,E00054117,317,103,85,33,36,11,35,14,0,0
Bradford,E00054118,300,12,54,36,26,25,65,60,19,3
Bradford,E00054119,387,66,86,39,91,31,32,40,2,0
Bradford,E00054120,385,54,61,49,113,26,42,18,9,13
Bradford,E00054121,436,89,97,18,84,21,63,41,12,11
Bradford,E00054122,275,15,41,21,31,31,58,67,11,0
Bradford,E00054123,354,37,46,52,60,40,66,43,7,3
Bradford,E00054124,347,20,43,32,74,34,53,71,20,0
Bradford,E00054125,314,8,42,13,44,30,80,68,28,1
Bradford,E00054126,350,5,33,42,55,42,90,61,22,0
Bradford,E00054127,358,12,13,28,56,35,50,111,52,1
Bradford,E00054128,415,6,14,9,30,48,47,87,145,29
Bradford,E00054129,472,8,30,28,66,55,67,130,67,21
Bradford,E00054130,482,9,38,20,65,44,86,102,110,8
Bradford,E00054132,386,19,38,14,33,43,88,85,52,14
Bradford,E00054133,386,5,35,4,46,36,106,76,64,14
Bradford,E00054134,510,16,24,22,50,35,118,132,101,12
Bradford,E00054135,481,15,30,21,64,39,58,143,107,4
Bradford,E00054136,430,28,19,18,82,40,66,79,79,19
Bradford,E00054137,346,29,33,14,35,37,65,96,25,12
Bradford,E00054138,544,31,44,29,70,50,82,142,77,19
Bradford,E00054139,509,15,43,36,65,54,100,129,56,11
Bradford,E00054140,477,23,44,24,46,19,70,155,62,34
Bradford,E00054141,561,22,57,28,132,56,77,148,33,8
Bradford,E00054142,404,16,28,10,47,42,33,139,72,17
Bradford,E00054143,407,6,45,35,42,43,62,83,76,15
Bradford,E00054144,440,9,25,27,64,50,69,116,75,5
Bradford,E00054145,467,15,46,14,108,16,54,126,69,19
Bradford,E00054146,278,3,19,23,20,24,62,73,48,6
Bradford,E00054147,441,20,26,9,49,23,108,101,98,7
Bradford,E00054148,555,44,47,54,77,38,89,130,60,16
Bradford,E00054149,413,10,69,40,71,35,31,72,84,1
Bradford,E00054150,282,18,25,30,7,30,66,55,43,8
Bradford,E00054151,374,27,33,19,67,21,68,78,40,21
Bradford,E00054152,442,28,41,29,93,25,57,96,58,15
Bradford,E00054153,566,17,30,35,87,47,45,178,116,11
Bradford,E00054154,591,30,42,41,114,63,99,125,62,15
Bradford,E00054155,409,20,27,31,85,34,85,85,30,12
Bradford,E00054156,162,1,13,11,12,13,22,50,36,4
Bradford,E00054158,163,1,10,14,10,11,44,40,32,1
Bradford,E00054160,266,1,16,13,26,25,36,49,73,27
Bradford,E00054161,231,3,24,7,11,22,57,55,48,4
Bradford,E00054162,612,19,57,53,92,36,67,157,108,23
Bradford,E00054163,373,12,17,18,55,22,66,109,40,34
Bradford,E00054164,388,11,16,24,11,34,93,103,78,18
Bradford,E00054165,331,10,27,25,17,17,74,81,61,19
Bradford,E00054166,405,27,37,33,38,52,85,91,42,0
Bradford,E00054167,313,4,61,23,24,24,60,76,36,5
Bradford,E00054168,402,11,49,16,5,33,80,118,71,19
Bradford,E00054169,345,12,35,15,28,33,75,66,66,15
Bradford,E00054170,310,5,36,38,25,22,56,88,33,7
Bradford,E00054171,387,21,28,40,57,27,73,110,26,5
Bradford,E00054172,403,30,33,13,51,41,50,89,80,16
Bradford,E00054173,351,11,38,12,19,15,56,90,98,12
Bradford,E00054174,411,32,65,43,88,9,50,83,26,15
Bradford,E00054175,252,15,47,30,28,36,49,45,2,0
Bradford,E00054176,302,18,26,48,28,35,56,57,30,4
Bradford,E00054177,381,30,50,61,54,38,65,62,14,7
Bradford,E00054178,358,12,53,57,42,49,51,75,13,6
Bradford,E00054179,296,24,29,40,27,50,57,65,4,0
Bradford,E00054180,281,16,18,8,43,22,42,76,50,6
Bradford,E00054181,368,15,81,50,43,25,73,62,16,3
Bradford,E00054182,266,31,28,34,37,37,47,43,7,2
Bradford,E00054183,218,4,15,34,32,32,41,48,7,5
Bradford,E00054184,188,2,18,23,21,19,36,60,8,1
Bradford,E00054185,305,33,71,48,42,15,53,31,12,0
Bradford,E00054186,305,21,61,43,42,17,61,54,6,0
Bradford,E00054187,242,6,33,28,17,17,52,74,12,3
Bradford,E00054188,276,26,53,29,40,21,46,46,10,5
Bradford,E00054189,327,1,34,43,33,41,66,83,26,0
Bradford,E00054190,259,11,40,27,8,29,57,57,30,0
Bradford,E00054191,305,14,39,44,36,53,38,74,6,1
Bradford,E00054192,309,14,23,31,29,22,74,79,34,3
Bradford,E00054193,269,5,27,36,11,18,69,78,24,1
Bradford,E00054194,324,49,77,45,48,34,42,23,6,0
Bradford,E00054195,297,18,51,51,28,33,41,68,4,3
Bradford,E00054196,301,14,58,46,30,29,37,55,27,5
Bradford,E00054197,303,16,81,37,48,30,34,53,0,4
Bradford,E00054198,324,11,56,45,42,40,48,61,12,9
Bradford,E00054199,350,34,55,41,55,39,57,60,8,1
Bradford,E00054200,270,21,44,48,23,33,51,47,3,0
Bradford,E00054201,341,35,51,52,22,46,61,57,13,4
Bradford,E00054202,228,28,36,30,35,22,34,33,6,4
Bradford,E00054203,305,8,48,38,29,34,74,59,13,2
Bradford,E00054204,345,42,65,51,56,41,42,48,0,0
Bradford,E00054205,278,15,50,42,36,43,48,36,7,1
Bradford,E00054206,255,4,21,28,10,26,65,72,24,5
Bradford,E00054207,256,0,9,28,27,25,54,67,32,14
Bradford,E00054209,501,27,40,49,115,67,93,70,34,6
Bradford,E00054210,470,11,73,47,69,46,49,92,56,27
Bradford,E00054211,416,31,23,63,52,36,69,100,31,11
Bradford,E00054212,591,23,53,51,121,54,88,117,68,16
Bradford,E00054213,396,0,28,62,67,39,63,94,41,2
Bradford,E00054214,315,8,39,15,61,27,48,73,38,6
Bradford,E00054215,436,26,44,65,37,34,66,91,66,7
Bradford,E00054216,438,8,39,27,95,57,99,78,33,2
Bradford,E00054217,389,36,34,45,48,25,86,71,28,16
Bradford,E00054218,389,21,47,21,51,30,70,85,55,9
Bradford,E00054219,435,17,28,39,93,29,70,99,49,11
Bradford,E00054220,390,7,68,49,71,35,73,57,28,2
Bradford,E00054221,335,16,78,32,22,41,45,69,27,5
Bradford,E00054222,294,6,34,39,29,22,62,56,42,4
Bradford,E00054223,417,18,82,42,73,41,28,79,51,3
Bradford,E00054224,249,18,34,42,30,8,48,56,11,2
Bradford,E00054225,384,38,71,52,93,16,41,41,29,3
Bradford,E00054226,332,23,73,42,48,23,42,66,9,6
Bradford,E00054227,317,75,109,33,26,25,8,36,2,3
Bradford,E00054228,319,44,82,41,58,43,21,30,0,0
Bradford,E00054229,331,37,110,51,57,29,26,20,1,0
Bradford,E00054231,294,34,64,49,26,41,35,44,1,0
Bradford,E00054232,291,45,78,39,57,17,25,24,4,2
Bradford,E00054233,347,42,77,56,45,44,49,29,2,3
Bradford,E00054234,392,28,100,69,48,30,56,36,23,2
Bradford,E00054235,258,33,64,40,44,27,21,23,6,0
Bradford,E00054236,235,11,59,24,39,30,48,21,3,0
Bradford,E00054237,346,18,71,56,42,27,61,60,5,6
Bradford,E00054238,374,48,117,51,64,33,44,17,0,0
Bradford,E00054239,294,25,58,49,18,38,46,41,8,11
Bradford,E00054240,279,13,43,51,33,42,53,36,8,0
Bradford,E00054241,264,56,69,27,43,8,31,21,9,0
Bradford,E00054242,293,11,67,39,26,33,48,65,4,0
Bradford,E00054243,234,14,54,28,18,34,38,42,5,1
Bradford,E00054244,298,33,68,53,30,25,46,40,2,1
Bradford,E00054245,322,59,75,27,43,53,28,29,7,1
Bradford,E00054246,336,25,94,47,37,29,38,55,0,11
Bradford,E00054247,437,40,69,71,48,35,101,59,11,3
Bradford,E00054248,225,23,32,32,28,24,24,55,2,5
Bradford,E00054249,345,27,74,51,47,44,58,39,5,0
Bradford,E00054250,353,94,108,45,30,38,11,21,2,4
Bradford,E00054251,275,12,39,25,27,23,31,70,37,11
Bradford,E00054252,244,24,26,37,15,22,59,36,22,3
Bradford,E00054253,301,16,72,40,58,27,37,34,2,15
Bradford,E00054254,258,7,36,40,22,23,46,65,17,2
Bradford,E00054255,306,35,60,38,27,36,65,38,7,0
Bradford,E00054256,334,92,92,21,85,29,15,0,0,0
Bradford,E00054257,350,33,83,41,22,42,65,47,15,2
Bradford,E00054258,308,30,76,56,32,34,43,28,4,5
Bradford,E00054259,195,11,29,22,15,24,38,45,6,5
Bradford,E00054260,257,23,57,49,28,48,27,15,4,6
Bradford,E00054261,220,22,44,17,23,34,39,28,3,10
Bradford,E00054262,294,18,58,52,36,42,46,37,5,0
Bradford,E00054263,277,17,60,50,30,23,39,36,11,11
Bradford,E00054264,329,6,40,24,32,14,85,97,28,3
Bradford,E00054265,224,9,32,26,14,9,37,46,49,2
Bradford,E00054266,279,37,51,33,48,28,46,31,3,2
Bradford,E00054267,601,29,63,44,58,54,158,88,92,15
Bradford,E00054268,277,13,53,39,32,21,47,61,10,1
Bradford,E00054269,369,41,68,38,36,41,63,54,24,4
Bradford,E00054270,206,28,30,27,20,24,33,37,1,6
Bradford,E00054271,365,17,93,40,64,29,66,44,9,3
Bradford,E00054272,255,39,62,30,32,25,26,40,1,0
Bradford,E00054273,350,27,42,48,55,28,55,63,32,0
Bradford,E00054274,301,59,93,33,37,38,25,10,2,4
Bradford,E00054275,249,39,47,34,16,22,48,40,3,0
Bradford,E00054276,261,18,31,20,25,22,70,52,20,3
Bradford,E00054277,342,43,49,52,59,40,56,37,6,0
Bradford,E00054278,321,48,77,57,30,33,51,22,3,0
Bradford,E00054279,312,46,61,26,59,27,48,33,12,0
Bradford,E00054280,339,75,90,21,59,35,27,22,6,4
Bradford,E00054281,101,17,21,7,35,5,8,8,0,0
Bradford,E00054282,376,30,70,59,38,40,68,41,20,10
Bradford,E00054283,328,23,78,43,72,34,28,39,5,6
Bradford,E00054284,319,41,77,33,78,20,25,24,8,13
Bradford,E00054285,364,19,49,33,44,40,51,71,54,3
Bradford,E00054286,279,13,53,39,28,27,55,54,10,0
Bradford,E00054287,273,21,27,38,40,24,60,47,16,0
Bradford,E00054288,311,32,49,65,33,15,43,54,20,0
Bradford,E00054289,360,18,50,43,53,46,67,67,12,4
Bradford,E00054290,370,69,122,22,115,13,8,16,3,2
Bradford,E00054291,198,55,50,20,38,19,6,8,2,0
Bradford,E00054292,267,23,48,43,19,39,23,68,0,4
Bradford,E00054293,330,47,58,42,35,42,43,54,7,2
Bradford,E00054294,506,125,129,55,61,40,40,40,9,7
Bradford,E00054295,284,74,96,21,39,19,20,11,4,0
Bradford,E00054296,313,68,104,53,25,25,28,7,3,0
Bradford,E00054297,377,97,143,30,56,22,11,15,0,3
Bradford,E00054298,248,12,45,30,21,12,52,59,15,2
Bradford,E00054299,307,49,121,38,45,25,18,10,1,0
Bradford,E00054300,318,37,87,52,42,32,35,28,5,0
Bradford,E00054301,290,79,78,50,37,20,8,12,2,4
Bradford,E00054302,256,39,82,54,23,33,15,8,2,0
Bradford,E00054303,299,94,89,16,76,8,6,8,2,0
Bradford,E00054304,443,96,186,61,27,21,23,25,0,4
Bradford,E00054305,296,126,83,25,31,13,9,3,6,0
Bradford,E00054306,298,68,114,34,33,22,15,12,0,0
Bradford,E00054307,324,72,116,41,41,18,12,20,4,0
Bradford,E00054308,297,98,120,19,35,18,1,4,2,0
Bradford,E00054309,376,111,102,51,52,25,24,8,3,0
Bradford,E00054310,273,58,75,36,28,23,34,14,5,0
Bradford,E00054311,296,96,98,23,35,14,20,10,0,0
Bradford,E00054312,349,106,123,49,34,5,23,8,1,0
Bradford,E00054313,358,88,101,35,46,30,27,17,13,1
Bradford,E00054315,375,99,123,46,58,10,27,10,2,0
Bradford,E00054316,269,117,56,21,52,10,9,4,0,0
Bradford,E00054317,266,75,109,21,31,8,8,12,1,1
Bradford,E00054318,239,25,84,53,28,9,21,14,1,4
Bradford,E00054319,304,90,104,30,49,5,14,7,2,3
Bradford,E00054320,279,94,96,19,37,14,11,5,3,0
Bradford,E00054321,370,61,103,25,38,35,56,43,5,4
Bradford,E00054322,291,79,90,27,45,11,18,18,0,3
Bradford,E00054323,207,24,72,31,33,13,22,8,4,0
Bradford,E00054324,399,148,137,44,29,17,11,9,0,4
Bradford,E00054325,312,90,121,26,31,7,13,19,3,2
Bradford,E00054326,352,106,121,33,24,16,31,15,3,3
Bradford,E00054327,275,57,100,23,40,9,18,28,0,0
Bradford,E00054328,350,66,110,40,61,25,19,23,6,0
Bradford,E00054329,264,57,82,31,41,10,21,15,2,5
Bradford,E00054330,281,109,100,24,29,7,4,4,0,4
Bradford,E00054331,280,28,71,29,42,12,40,30,26,2
Bradford,E00054332,376,80,89,23,48,27,60,37,12,0
Bradford,E00054333,301,69,94,32,43,8,32,20,3,0
Bradford,E00054334,293,81,83,27,16,22,37,21,4,2
Bradford,E00054335,220,38,44,30,32,22,33,13,5,3
Bradford,E00054336,331,87,114,13,69,16,14,12,0,6
Bradford,E00054337,284,100,93,16,24,21,15,14,1,0
Bradford,E00054338,315,111,118,24,28,9,11,10,1,3
Bradford,E00054339,281,64,92,33,49,10,16,10,1,6
Bradford,E00054340,301,116,124,14,36,2,5,4,0,0
Bradford,E00054341,203,74,54,24,22,5,14,8,2,0
Bradford,E00054342,129,38,44,8,31,0,3,1,4,0
Bradford,E00054343,305,12,59,41,58,57,30,44,2,2
Bradford,E00054344,262,14,49,20,14,31,55,44,28,7
Bradford,E00054345,152,4,23,17,17,15,34,28,14,0
Bradford,E00054346,321,11,22,30,32,34,69,80,38,5
Bradford,E00054347,313,37,82,42,33,25,30,43,14,7
Bradford,E00054348,463,20,65,56,52,33,89,113,29,6
Bradford,E00054349,350,23,68,41,17,35,59,66,35,6
Bradford,E00054350,290,62,98,32,11,21,31,27,8,0
Bradford,E00054351,349,26,60,44,29,28,81,48,32,1
Bradford,E00054353,349,13,43,33,22,41,72,82,41,2
Bradford,E00054354,337,61,61,49,33,48,44,32,4,5
Bradford,E00054355,300,20,65,48,18,18,52,55,19,5
Bradford,E00054356,296,26,54,45,35,63,43,24,5,1
Bradford,E00054357,255,17,72,26,11,30,41,33,23,2
Bradford,E00054358,282,17,45,23,26,21,56,70,20,4
Bradford,E00054359,348,23,85,52,46,38,70,31,3,0
Bradford,E00054360,272,11,23,26,45,41,53,59,14,0
Bradford,E00054361,287,36,57,51,27,46,53,17,0,0
Bradford,E00054362,294,7,15,46,45,27,65,74,15,0
Bradford,E00054363,352,8,69,27,16,40,73,80,36,3
Bradford,E00054364,384,49,74,42,28,63,55,62,6,5
Bradford,E00054365,237,8,23,14,23,22,64,47,32,4
Bradford,E00054366,330,44,41,43,50,43,61,32,7,9
Bradford,E00054367,368,22,82,56,30,41,48,75,7,7
Bradford,E00054368,287,6,32,28,22,25,76,64,31,3
Bradford,E00054370,277,27,49,40,29,32,56,37,4,3
Bradford,E00054371,280,36,61,61,12,42,24,43,1,0
Bradford,E00054372,220,1,13,18,15,10,52,62,43,6
Bradford,E00054373,189,5,19,10,15,9,43,38,47,3
Bradford,E00054374,351,21,80,42,42,30,61,48,21,6
Bradford,E00054375,312,11,48,26,24,51,51,80,18,3
Bradford,E00054376,282,6,31,61,11,31,37,56,42,7
Bradford,E00054377,320,8,45,26,28,22,73,97,11,10
Bradford,E00054378,599,67,141,82,84,47,66,90,10,12
Bradford,E00054379,301,23,39,48,28,31,70,52,4,6
Bradford,E00054380,365,29,52,28,70,41,52,75,18,0
Bradford,E00054381,291,16,16,20,32,17,71,81,33,5
Bradford,E00054382,293,22,62,35,27,29,38,74,3,3
Bradford,E00054383,269,23,32,41,39,16,62,49,4,3
Bradford,E00054384,258,14,50,19,26,45,44,47,10,3
Bradford,E00054385,366,23,88,28,37,24,71,68,26,1
Bradford,E00054386,335,10,43,56,19,36,62,82,27,0
Bradford,E00054387,241,41,73,31,20,15,26,31,4,0
Bradford,E00054388,279,8,31,23,22,35,50,63,43,4
Bradford,E00054389,239,52,73,32,15,17,28,18,2,2
Bradford,E00054390,270,16,62,42,17,37,40,50,5,1
Bradford,E00054391,351,34,99,42,48,36,54,35,2,1
Bradford,E00054392,260,60,82,41,23,16,15,16,7,0
Bradford,E00054393,554,61,92,32,69,28,59,57,32,124
Bradford,E00054394,446,50,74,53,58,71,58,44,30,8
Bradford,E00054395,283,32,85,51,42,14,27,21,6,5
Bradford,E00054396,417,123,117,41,76,11,12,12,18,7
Bradford,E00054397,266,38,85,49,35,24,21,12,2,0
Bradford,E00054398,305,99,85,40,37,18,10,12,0,4
Bradford,E00054399,306,23,64,44,44,23,46,40,16,6
Bradford,E00054400,394,41,93,36,32,35,65,77,9,6
Bradford,E00054401,302,32,41,37,30,44,53,55,9,1
Bradford,E00054402,392,20,75,52,52,44,56,75,17,1
Bradford,E00054403,409,78,92,37,72,28,35,36,21,10
Bradford,E00054404,423,21,68,55,81,39,42,89,23,5
Bradford,E00054405,437,44,100,37,94,20,42,55,45,0
Bradford,E00054406,594,36,88,27,123,72,49,88,91,20
Bradford,E00054407,449,31,112,43,118,23,43,60,19,0
Bradford,E00054408,404,68,95,55,70,19,56,33,6,2
Bradford,E00054409,582,19,64,58,100,106,91,73,61,10
Bradford,E00054410,590,119,113,48,193,7,26,41,18,25
Bradford,E00054411,467,27,65,40,56,39,64,119,35,22
Bradford,E00054412,203,25,41,26,12,16,30,34,15,4
