Local_Authority,OA_code,NSSEC_tot,NSSEC_1HigherManProf,NSSEC_2LowerManProf,NSSEC_3Intermediate,NSSEC_4SmallAccount,NSSEC_5LowerSupTech,NSSEC_6SemiRoutine,NSSEC_7Routine,NSSEC_8NoneUnemp,NSSEC_9UnClassif
Blackburn with Darwen,E00063474,287,20,43,20,33,42,68,55,6,0
Blackburn with Darwen,E00063475,483,43,78,48,54,50,80,93,30,7
Blackburn with Darwen,E00063476,247,3,31,16,24,28,45,60,38,2
Blackburn with Darwen,E00063477,329,14,27,31,24,37,101,68,16,11
Blackburn with Darwen,E00063478,204,16,39,26,26,19,38,34,6,0
Blackburn with Darwen,E00063479,234,37,54,36,55,19,16,17,0,0
Blackburn with Darwen,E00063480,243,3,41,27,11,22,42,63,26,8
Blackburn with Darwen,E00063481,219,5,36,23,23,43,40,43,6,0
Blackburn with Darwen,E00063482,338,31,49,55,39,40,69,46,9,0
Blackburn with Darwen,E00063483,217,1,39,29,11,27,51,34,17,8
Blackburn with Darwen,E00063484,313,86,76,24,43,25,38,18,1,2
Blackburn with Darwen,E00063485,325,57,108,16,40,38,39,22,5,0
Blackburn with Darwen,E00063486,259,18,68,28,39,33,29,40,0,4
Blackburn with Darwen,E00063487,342,46,104,45,46,51,28,22,0,0
Blackburn with Darwen,E00063488,319,54,56,42,60,21,41,25,13,7
Blackburn with Darwen,E00063489,366,91,86,30,94,30,13,19,0,3
Blackburn with Darwen,E00063490,277,21,38,36,25,22,68,49,11,7
Blackburn with Darwen,E00063491,488,33,61,45,43,58,110,101,22,15
Blackburn with Darwen,E00063492,334,25,45,32,43,42,77,58,9,3
Blackburn with Darwen,E00063493,138,8,19,13,8,12,28,27,15,8
Blackburn with Darwen,E00063494,282,11,36,34,22,36,58,57,24,4
Blackburn with Darwen,E00063495,305,10,45,19,19,23,75,79,34,1
Blackburn with Darwen,E00063496,183,7,19,18,32,1,54,29,16,7
Blackburn with Darwen,E00063497,288,14,38,39,13,50,52,53,22,7
Blackburn with Darwen,E00063498,275,27,33,34,40,34,44,45,12,6
Blackburn with Darwen,E00063499,293,23,62,25,18,47,56,53,6,3
Blackburn with Darwen,E00063500,255,38,46,27,10,32,33,52,16,1
Blackburn with Darwen,E00063501,197,8,19,14,27,17,43,44,20,5
Blackburn with Darwen,E00063502,338,30,72,23,24,32,76,61,12,8
Blackburn with Darwen,E00063503,501,16,84,85,44,39,80,118,27,8
Blackburn with Darwen,E00063504,263,14,51,28,20,20,58,55,13,4
Blackburn with Darwen,E00063505,345,24,73,35,50,36,70,51,6,0
Blackburn with Darwen,E00063506,309,41,110,34,15,37,41,29,2,0
Blackburn with Darwen,E00063507,292,24,36,31,44,19,48,70,5,15
Blackburn with Darwen,E00063508,294,15,53,35,28,38,57,55,7,6
Blackburn with Darwen,E00063509,284,5,24,35,9,20,68,83,29,11
Blackburn with Darwen,E00063510,321,26,82,39,29,28,75,31,8,3
Blackburn with Darwen,E00063511,417,3,62,29,31,12,110,113,51,6
Blackburn with Darwen,E00063512,201,9,30,26,6,14,48,57,11,0
Blackburn with Darwen,E00063513,381,75,77,41,65,49,41,33,0,0
Blackburn with Darwen,E00063514,312,25,95,40,39,33,35,34,6,5
Blackburn with Darwen,E00063515,325,22,99,46,44,45,45,17,3,4
Blackburn with Darwen,E00063517,268,23,44,44,38,31,48,36,4,0
Blackburn with Darwen,E00063518,221,11,49,36,21,37,39,24,2,2
Blackburn with Darwen,E00063520,344,32,96,46,27,59,44,35,0,5
Blackburn with Darwen,E00063521,295,24,78,38,43,53,25,31,0,3
